Time.point,Period,Site,Species,Condition,Sample.ID ,Pair,Depth.ft,surface.area.cm2,blastate.ml,cells.ml,AFDW.g.ml,mg.carb.ml,mg.protein.ml,ug.chl.a.ml,ug.chl.c2.ml,g.lipids.gdw,lipid.freeze.dry.g,lipid.extract.mass.g,AFDW.burned+lipids.g,AFDW.freeze.ml,host.ug.N,host.d15N,host.ug.C,host.d13C,host.C.N,symb.ug.N,symb.d15N,symb.ug.C,symb.d13C,symb.C.N,d15N.H.S,d13C.H.S,symb.comm
2014 Oct,Bleaching,HIMB,MC,B,3,2,6,12.2862245,17.5,338148,0.0149,0.3646,0.53,1.8055,0.5245,0.3034,0.1099,0.0042,0.0139,0.004633333,64.4,4.9,507.8,-16.1,7.885,38.7,4.3,326.1,-16.5,8.4264,0.6,0.4,C
2014 Oct,Bleaching,HIMB,MC,NB,4,2,6,9.1605246,17.5,1100000,0.0143,0.1969,0.4963,2.4946,0.5274,0.3657,0.1119,0.005,0.0136,0.004533333,40.4,5.4,270,-17.6,6.683,85.7,4.5,588.8,-17.3,6.8705,0.9,-0.3,D
2014 Oct,Bleaching,HIMB,MC,B,5,3,6,15.177763,22.2,25370,0.0135,0.2015,0.1937,0.1768,0.0805,0.3137,0.098,0.003,0.0095,0.003166667,43.1,6.5,330.8,-15.9,7.675,47.9,7.9,343.7,-16.1,7.1754,-1.4,0.2,C
2014 Oct,Bleaching,HIMB,MC,NB,6,3,6,23.302454,22.5,1753750,0.016,0.4424,0.442,2.7744,0.7276,0.3745,0.1148,0.0065,0.0173,0.005766667,90,5.3,638.1,-17,7.09,105.5,4.3,761,-16.7,7.2133,1,-0.3,NA
2014 Oct,Bleaching,HIMB,PC,B,9,5,1,8.8589531,17.5,37593,0.0133,0.4009,0.9154,0.0218,0.0379,0.3213,0.12,0.0057,0.0178,0.005933333,121.9,4.6,762.5,-16.3,6.255,45.6,5.9,249,-16.3,5.4605,-1.3,0,
2014 Oct,Bleaching,HIMB,PC,NB,10,5,2,19.3962161,32.5,950000,0.014,0.7822,0.4347,4.4221,1.2507,0.3364,0.0803,0.0044,0.013,0.004333333,88.7,5.7,543.8,-15.7,6.131,82.2,3.7,436,-16.2,5.3041,2,0.5,
2014 Oct,Bleaching,HIMB,PC,B,13,7,1,6.0880432,15,59259,0.0138,0.4064,0.7786,0.1391,0.0746,0.4547,0.1123,0.0076,0.0167,0.005566667,49,5.1,304.7,-15.2,6.218367347,33.1,7.4,167.8,-15,5.0695,-2.3,-0.2,
2014 Oct,Bleaching,HIMB,PC,NB,14,7,1,2.8523584,17.5,,0.0117,0.2957,0.315,2.4523,0.5185,0.3689,0.1117,0.0052,0.0142,0.004733333,38.6,5.8,277.1,-15.9,7.178756477,35.1,4.9,239.3,-15.8,6.8177,0.9,-0.1,
2014 Oct,Bleaching,HIMB,PC,B,15,8,1,6.0632079,17.5,35000,0.0103,0.3245,0.6913,0.0266,0.0752,0.4153,0.1174,0.0077,0.0185,0.006166667,47.5,6,260.2,-14.6,5.478,65.3,5.5,309.7,-14.2,4.7427,0.5,-0.4,
2014 Oct,Bleaching,HIMB,PC,NB,16,8,1,23.5011364,32.5,740000,0.0125,0.8968,0.4734,5.4101,1.4052,0.3154,0.1265,0.006,0.0191,0.006366667,64.8,5.7,403.6,-14.9,6.228,100.8,4,595.8,-14.3,5.9107,1.7,-0.6,
2014 Oct,Bleaching,HIMB,MC,B,19,9,5,17.0368626,22.5,,0.0158,0.3411,0.4594,1.4735,0.5716,0.3634,,0.0065,0.0179,0.005966667,86,5.3,587.2,-15.1,6.828,68.1,3.6,516.2,-15.7,7.58,1.7,0.6,C
2014 Oct,Bleaching,HIMB,MC,NB,20,9,5,9.6146558,22.2,,0.014,0.3202,0.554,3.0551,0.6922,0.2725,,0.006,0.0221,0.007366667,68,4.6,462.6,-15.1,6.803,66.8,4.2,538.5,-15.2,8.0614,0.4,0.1,NA
2014 Oct,Bleaching,HIMB,PC,B,23,11,2,6.804719,17.5,,0.0142,0.2922,0.6316,0.1336,0.0674,0.4891,0.1131,0.009,0.0183,0.0061,67.8,5.8,397.6,-17,5.864,85.4,5.2,409.9,-16.6,4.7998,0.6,-0.4,
2014 Oct,Bleaching,HIMB,PC,NB,24,11,2,5.6729389,17.5,,0.0134,0.3597,0.6551,4.0308,1.0904,0.3755,0.1157,0.0061,0.0162,0.0054,99.1,5.4,572.4,-16.8,5.776,48.9,6.5,279.7,-16.8,5.7198,-1.1,0,
2014 Oct,Bleaching,HIMB,MC,B,25,12,3,6.2512466,15,,0.0082,0.2115,0.2524,0.7387,0.2225,0.434,0.1072,0.0072,0.0166,0.005533333,31.8,5,237,-17.1,7.453,18.6,4.6,130.1,-17.2,6.9946,0.4,0.1,C
2014 Oct,Bleaching,HIMB,MC,NB,26,12,3,13.8011778,25,,0.0131,0.2822,0.338,2.3463,0.4043,0.2543,,0.0032,0.0127,0.004233333,43.6,6.1,303.8,-18.9,6.968,40.7,4.4,301.7,-18.4,7.4128,1.7,-0.5,D
2014 Oct,Bleaching,HIMB,MC,B,31,14,2,11.8249975,17.5,,0.0104,0.2003,0.3171,0.4424,0.162,0.4876,0.1035,0.0076,0.0157,0.005233333,43.8,3.1,303,-15.8,6.918,28.5,2.9,198.7,-16.5,6.9719,0.2,0.7,C
2014 Oct,Bleaching,HIMB,MC,NB,32,14,2,7.194988,20,,0.0134,0.2673,0.296,2.5846,0.4787,0.3509,0.1059,0.0046,0.0131,0.004366667,68.5,4.8,489.6,-18.1,7.147,95,4.3,739.6,-17.8,7.7853,0.5,-0.3,D
2014 Oct,Bleaching,HIMB,PC,B,33,15,1,13.0703104,25,,0.0148,0.3777,0.6487,1.3583,0.5276,0.3436,0.1181,0.0051,0.015,0.005,63.3,5.1,380.1,-14.7,6.005,78.6,4.2,454.5,-14.6,5.7824,0.9,-0.1,
2014 Oct,Bleaching,HIMB,PC,NB,34,15,1,13.8863274,32.5,,0.0137,0.4719,0.7215,3.9782,1.1519,0.4356,0.1223,0.0082,0.0189,0.0063,65.8,5.3,419.4,-15.7,6.374,103.4,5.2,636.5,-15.7,6.1557,0.1,0,
2014 Oct,Bleaching,Reef 25,MC,B,53,22,8,23.0789363,29,167500,0.0135,0.2112,0.3022,0.7856,0.201,0.2522,0.1025,0.0029,0.0116,0.003866667,55.7,4,398.9,-17.5,7.167,98.3,3.5,727.6,-17.2,7.4018,0.45,-0.25,C
2014 Oct,Bleaching,Reef 25,MC,NB,54,22,8,10.8032023,22,868333.3333,0.0121,0.1811,0.1615,2.3154,0.6695,0.159,0.1042,0.0014,0.0087,0.0029,31,4.1,226.5,-16.4,7.306,37.9,4.1,263.1,-17.3,6.942,0,0.9,C
2014 Oct,Bleaching,Reef 25,PC,B,55,23,3,12.942586,25,242777.7778,0.0124,0.5494,0.8927,0.6265,0.2917,0.3792,0.111,0.0068,0.0172,0.005733333,108.2,4.6,621.1,-15.3,5.74,33,3.9,183.7,-16.5,5.5667,0.7,1.2,
2014 Oct,Bleaching,Reef 25,PC,NB,56,23,3,7.1346737,28,361428.5714,0.0144,0.3097,0.3563,1.3942,0.3683,0.4653,0.1102,0.0044,0.0119,0.003966667,68.2,4.7,447,-15.2,6.554,19.4,2.9,132,-15.3,6.8041,1.8,0.1,
2014 Oct,Bleaching,Reef 25,MC,B,57,24,5,22.0677848,19,151666.6667,0.0171,0.7419,0.2842,1.514,0.5006,0.2572,0.1019,0.0042,0.0163,0.005433333,78.2,4.2,529.9,-14.1,6.776,81.6,2.3,739.9,-14.9,9.0674,1.9,0.8,C
2014 Oct,Bleaching,Reef 25,MC,NB,58,24,5,16.1215044,20,457222.2222,0.0161,0.2774,0.3708,0.1474,0.2526,0.3804,0.1129,0.0065,0.0171,0.0057,90.2,4,624.7,-14.9,6.926,46.4,5.1,506.8,-15.8,10.9224,-1.1,0.9,D
2014 Oct,Bleaching,Reef 25,PC,B,61,26,4,15.1174487,22,173888.8889,0.0147,0.5031,0.7389,1.0996,0.3521,0.4124,0.1172,0.0055,0.0132,0.0044,132.9,3.3,792.4,-15.9,5.962,46.6,2.7,269.2,-16.5,5.783,0.65,0.6,
2014 Oct,Bleaching,Reef 25,PC,NB,62,26,4,10.1432929,43,387777.7778,0.0138,0.3062,0.495,1.4724,0.4197,0.484,0.1089,0.0045,0.0094,0.003133333,54,5.6,378.8,-15.2,7.015,18.2,3.6,117.8,-15.6,6.4725,2,0.4,
2014 Oct,Bleaching,Reef 25,MC,B,69,30,5,15.2238857,25,391250,0.0123,0.3124,0.3897,1.6444,0.4233,0.2583,0.1111,0.0029,0.0112,0.003733333,92.4,3.9,624.2,-13.6,6.755,63.2,3.3,454.6,-14.2,7.193,0.6,0.6,C
2014 Oct,Bleaching,Reef 25,MC,NB,70,30,5,5.740349,18,724000,0.013,0.1825,0.2634,1.5617,0.3599,0.4319,0.1097,0.0063,0.0146,0.004866667,51.3,4.1,379.2,-16.3,7.392,69.7,4.2,515.1,-16.1,7.3902,-0.1,-0.2,D
2014 Oct,Bleaching,Reef 25,MC,B,71,31,5,11.7150126,11,,0.0144,0.2243,0.355,0.2452,0.144,,,,,,87,4.5,597.4,-14.1,6.867,80.8,3.8,568.3,-15,7.0334,0.7,0.9,C
2014 Oct,Bleaching,Reef 25,MC,NB,72,31,5,25.2715385,44,,0.0165,0.332,0.2833,3.299,0.6103,0.2366,0.1086,0.0027,0.0114,0.0038,63.2,3.8,440.4,-14.9,6.968,98.6,3.7,811,-15.2,8.2252,0.1,0.3,C
2014 Oct,Bleaching,Reef 25,PC,B,73,32,1,12.3252514,21,,0.0135,0.3862,0.7022,0.6791,0.2661,,,,,,105.3,3.8,664,-14.6,6.306,52.9,6.4,299.5,-14.8,5.6616,-2.6,0.2,
2014 Oct,Bleaching,Reef 25,PC,NB,74,32,1,24.3207013,53,,0.0137,0.3659,0.6634,1.828,0.4927,0.3826,0.1101,0.0054,0.0142,0.004733333,89.5,4.5,540.3,-16.1,6.037,34.6,2.05,225.55,-17.3,6.5188,2.45,1.2,
2014 Oct,Bleaching,Reef 25,MC,B,79,34,7,13.1590079,20,,0.012,0.2544,0.2904,0.4372,0.1793,0.2669,0.109,0.0033,0.0123,0.0041,71.1,3.7,499.5,-16.1,7.03,25.6,4.1,180.9,-16.6,7.0664,-0.4,0.5,C
2014 Oct,Bleaching,Reef 25,MC,NB,80,34,7,15.9015346,23,,0.0129,0.2137,0.3809,1.9526,0.419,0.2555,0.1157,0.0034,0.0132,0.0044,84.5,3.4,544.8,-14.3,6.447,42.4,3,309.9,-15.6,7.3176,0.4,1.25,C
2014 Oct,Bleaching,Reef 25,PC,B,85,37,3,10.920283,27,,0.0135,0.1903,0.3132,0.3886,0.1499,0.4541,0.1056,0.006,0.0132,0.0044,65.2,6.1,369.8,-14.6,5.672,39.3,7.7,198.6,-15.7,5.0534,-1.6,1.1,
2014 Oct,Bleaching,Reef 25,PC,NB,86,37,3,11.4985907,45,,0.0154,0.2301,0.2896,1.8584,0.5385,0.5343,0.1124,0.0057,0.0106,0.003533333,55.2,4.5,358.5,-14.3,6.495,73.9,3.8,427.6,-14.4,5.7862,0.7,0.1,
2014 Oct,Bleaching,Reef 25,PC,B,95,40,1,12.8042179,37,,0.0145,0.2195,0.5026,0.2951,0.3947,0.5455,0.1089,0.006,0.011,0.003666667,65.2,3.9,395.8,-16.2,6.071,41,4.3,236.3,-14.4,5.7634,-0.4,-1.8,
2014 Oct,Bleaching,Reef 25,PC,NB,96,40,1,14.361746,32.5,,0.0147,0.5144,0.6675,3.8798,1.1585,0.2864,0.1132,0.006,0.0152,0.005066667,89.4,4.6,599.4,-15.1,6.705,19.4,2.25,155.65,-15.5,8.0232,2.35,0.4,
