date,time,PAR_raw,PAR_calibrated_umol/m^2/s
2014-12-11, 12:00:00,8210,494.1
2014-12-11, 12:15:00,8065,485.1
2014-12-11, 12:30:00,6597,396.9
2014-12-11, 12:45:00,6593,396.9
2014-12-11, 13:00:00,7824,470.7
2014-12-11, 13:15:00,12036,724.5
2014-12-11, 13:30:00,10129,610.2
2014-12-11, 13:45:00,9667,582.3
2014-12-11, 14:00:00,8885,534.6
2014-12-11, 14:15:00,6930,417.6
2014-12-11, 14:30:00,5939,357.3
2014-12-11, 14:45:00,4600,277.2
2014-12-11, 15:00:00,3257,196.2
2014-12-11, 15:15:00,3137,189
2014-12-11, 15:30:00,2470,148.5
2014-12-11, 15:45:00,1743,105.3
2014-12-11, 16:00:00,1601,96.3
2014-12-11, 16:15:00,2207,133.2
2014-12-11, 16:30:00,2336,140.4
2014-12-11, 16:45:00,1887,113.4
2014-12-11, 17:00:00,1331,80.1
2014-12-11, 17:15:00,794,47.7
2014-12-11, 17:30:00,372,22.5
2014-12-11, 17:45:00,195,11.7
2014-12-11, 18:00:00,44,2.7
2014-12-11, 18:15:00,2,0
2014-12-11, 18:30:00,0,0
2014-12-11, 18:45:00,0,0
2014-12-11, 19:00:00,0,0
2014-12-11, 19:15:00,0,0
2014-12-11, 19:30:00,0,0
2014-12-11, 19:45:00,0,0
2014-12-11, 20:00:00,0,0
2014-12-11, 20:15:00,0,0
2014-12-11, 20:30:00,0,0
2014-12-11, 20:45:00,0,0
2014-12-11, 21:00:00,0,0
2014-12-11, 21:15:00,0,0
2014-12-11, 21:30:00,0,0
2014-12-11, 21:45:00,0,0
2014-12-11, 22:00:00,0,0
2014-12-11, 22:15:00,0,0
2014-12-11, 22:30:00,0,0
2014-12-11, 22:45:00,0,0
2014-12-11, 23:00:00,0,0
2014-12-11, 23:15:00,0,0
2014-12-11, 23:30:00,0,0
2014-12-11, 23:45:00,0,0
2014-12-11, 24:00:00,0,0
2014-12-12, 00:15:00,0,0
2014-12-12, 00:30:00,0,0
2014-12-12, 00:45:00,0,0
2014-12-12, 01:00:00,0,0
2014-12-12, 01:15:00,0,0
2014-12-12, 01:30:00,0,0
2014-12-12, 01:45:00,0,0
2014-12-12, 02:00:00,0,0
2014-12-12, 02:15:00,0,0
2014-12-12, 02:30:00,0,0
2014-12-12, 02:45:00,0,0
2014-12-12, 03:00:00,0,0
2014-12-12, 03:15:00,0,0
2014-12-12, 03:30:00,0,0
2014-12-12, 03:45:00,0,0
2014-12-12, 04:00:00,0,0
2014-12-12, 04:15:00,0,0
2014-12-12, 04:30:00,0,0
2014-12-12, 04:45:00,0,0
2014-12-12, 05:00:00,0,0
2014-12-12, 05:15:00,0,0
2014-12-12, 05:30:00,0,0
2014-12-12, 05:45:00,0,0
2014-12-12, 06:00:00,0,0
2014-12-12, 06:15:00,0,0
2014-12-12, 06:30:00,0,0
2014-12-12, 06:45:00,1,0
2014-12-12, 07:00:00,29,1.8
2014-12-12, 07:15:00,169,9.9
2014-12-12, 07:30:00,365,21.6
2014-12-12, 07:45:00,554,33.3
2014-12-12, 08:00:00,696,42.3
2014-12-12, 08:15:00,736,44.1
2014-12-12, 08:30:00,1446,87.3
2014-12-12, 08:45:00,2094,126
2014-12-12, 09:00:00,3118,188.1
2014-12-12, 09:15:00,4094,246.6
2014-12-12, 09:30:00,6289,378.9
2014-12-12, 09:45:00,5759,346.5
2014-12-12, 10:00:00,3320,199.8
2014-12-12, 10:15:00,5449,327.6
2014-12-12, 10:30:00,5564,334.8
2014-12-12, 10:45:00,7596,457.2
2014-12-12, 11:00:00,14009,843.3
2014-12-12, 11:15:00,14225,855.9
2014-12-12, 11:30:00,9900,595.8
2014-12-12, 11:45:00,10164,612
2014-12-12, 12:00:00,10773,648.9
2014-12-12, 12:15:00,11146,671.4
2014-12-12, 12:30:00,13756,828
2014-12-12, 12:45:00,12941,779.4
2014-12-12, 13:00:00,17157,1033.2
2014-12-12, 13:15:00,16175,973.8
2014-12-12, 13:30:00,14167,853.2
2014-12-12, 13:45:00,9923,597.6
2014-12-12, 14:00:00,12787,769.5
2014-12-12, 14:15:00,11056,666
2014-12-12, 14:30:00,13017,783.9
2014-12-12, 14:45:00,12602,758.7
2014-12-12, 15:00:00,9551,575.1
2014-12-12, 15:15:00,8976,540
2014-12-12, 15:30:00,7529,453.6
2014-12-12, 15:45:00,7852,472.5
2014-12-12, 16:00:00,5709,343.8
2014-12-12, 16:15:00,2910,175.5
2014-12-12, 16:30:00,2339,140.4
2014-12-12, 16:45:00,1825,109.8
2014-12-12, 17:00:00,1674,100.8
2014-12-12, 17:15:00,1282,77.4
2014-12-12, 17:30:00,602,36
2014-12-12, 17:45:00,356,21.6
2014-12-12, 18:00:00,102,6.3
2014-12-12, 18:15:00,7,0
2014-12-12, 18:30:00,0,0
2014-12-12, 18:45:00,0,0
2014-12-12, 19:00:00,0,0
2014-12-12, 19:15:00,0,0
2014-12-12, 19:30:00,0,0
2014-12-12, 19:45:00,0,0
2014-12-12, 20:00:00,0,0
2014-12-12, 20:15:00,0,0
2014-12-12, 20:30:00,0,0
2014-12-12, 20:45:00,0,0
2014-12-12, 21:00:00,0,0
2014-12-12, 21:15:00,0,0
2014-12-12, 21:30:00,0,0
2014-12-12, 21:45:00,0,0
2014-12-12, 22:00:00,0,0
2014-12-12, 22:15:00,0,0
2014-12-12, 22:30:00,0,0
2014-12-12, 22:45:00,0,0
2014-12-12, 23:00:00,0,0
2014-12-12, 23:15:00,0,0
2014-12-12, 23:30:00,0,0
2014-12-12, 23:45:00,0,0
