Sample #,Date,Location,Phosphate,Silicate,N+N,Ammonia,Ammonia.actual,,,
1,11/4/14,HIMB,0.116,13.992,0.512,0.052,0.052,,,
4,11/18/14,HIMB,0.092,9.892,0.148,0.010,<0.019,,,
29 WALL,11/26/14,HIMB,0.079994495,7.768903539,0.309189548,0.643818635,0.643818635,,,
7,12/2/14,HIMB,0.089,7.512,0.212,0.010,<0.019,,,
10,12/17/14,HIMB,0.103,8.458,0.503,1.132,1.132,,,
30 WALL,12/23/14,HIMB,0.0623613,5.425189374,0.520618141,0.759679107,0.759679107,,,
13,12/30/14,HIMB,0.112,7.288,0.543,0.025,0.025,,,
16,1/13/15,HIMB,0.110,4.893,0.054,0.010,<0.019,,,
19,1/27/15,HIMB,0.148,6.904,0.471,0.132,0.132,,,
31 WALL,2/4/15,HIMB,0.06821036,8.729779162,0.262808823,0.468146201,0.468146201,,,
2,11/4/14,Reef 25,0.088,11.006,0.580,0.010,<0.019,,,
5,11/18/14,Reef 25,0.083,8.828,0.134,0.010,<0.019,,,
21 WALL,11/26/14,Reef 25,0.051953414,6.966432526,0.317555692,0.65658748,0.65658748,,,
8,12/2/14,Reef 25,0.070,2.739,0.391,0.010,<0.019,,,
11,12/17/14,Reef 25,0.104,6.251,0.626,0.325,0.325,,,
22 WALL,12/23/14,Reef 25,0.122142132,22.37549373,1.178534604,0.841802945,0.841802945,,,
14,12/30/14,Reef 25,0.098,6.180,0.300,0.451,0.451,,,
17,1/13/15,Reef 25,0.096,6.220,0.100,0.010,<0.019,,,
20,1/27/15,Reef 25,0.107,6.079,0.441,0.010,<0.019,,,
23 WALL,2/4/15,Reef 25,0.04657744,6.608505514,0.136142474,0.466667703,0.466667703,,,
3,11/4/14,Reef 44,0.133,19.605,1.397,0.010,<0.019,,,
6,11/18/14,Reef 44,0.110,8.357,0.634,0.010,<0.019,,,
13 WALL,11/26/14,Reef 44,0.076854926,8.55823034,0.997855258,1.141534794,1.141534794,,,
9,12/2/14,Reef 44,0.096,7.193,0.234,0.526,0.526,,,
12,12/17/14,Reef 44,0.129,4.438,0.753,0.557,0.557,,,
14 WALL,12/23/14,Reef 44,0.088381015,6.79993917,0.854163074,1.362368618,1.362368618,,,
15,12/30/14,Reef 44,0.150,15.290,0.873,0.027,0.027,,,
18,1/13/15,Reef 44,0.115,7.534,0.284,0.010,<0.019,,,
21,1/27/15,Reef 44,0.117,9.104,0.802,0.010,<0.019,,,
15 WALL,2/4/15,Reef 44,0.090746443,7.603758308,0.422352648,1.823256739,1.823256739,,,
