Time.point,Location,sedim..g.d
1/20/15,Reef 44,0.0437975
2/17/15,Reef 44,0.06765
3/17/15,Reef 44,0.048932143
4/21/15,Reef 44,0.035282857
5/12/15,Reef 44,0.056338095
6/9/15,Reef 44,0.020421429
7/7/15,Reef 44,0.029235714
8/4/15,Reef 44,0.026446429
9/8/15,Reef 44,0.085914286
10/6/15,Reef 44,0.047357143
11/3/15,Reef 44,0.065907143
12/10/15,Reef 44,0.098445946
1/14/16,Reef 44,0.167634286
1/20/15,Reef 25,0.025330952
2/17/15,Reef 25,0.028842857
3/17/15,Reef 25,0.023853571
4/21/15,Reef 25,0.021594286
5/12/15,Reef 25,0.081157143
6/9/15,Reef 25,0.047546429
7/7/15,Reef 25,0.018228571
8/4/15,Reef 25,0.019592857
9/8/15,Reef 25,0.01612
10/6/15,Reef 25,0.040953571
11/3/15,Reef 25,0.033853571
12/10/15,Reef 25,0.038086486
1/14/16,Reef 25,0.040951429
1/20/15,HIMB,0.0320125
2/17/15,HIMB,0.058860714
3/17/15,HIMB,0.038942857
4/21/15,HIMB,0.062717143
5/12/15,HIMB,0.054461905
6/9/15,HIMB,0.019735714
7/7/15,HIMB,0.055342857
8/4/15,HIMB,0.058360714
9/8/15,HIMB,0.026654286
10/6/15,HIMB,0.098592857
11/3/15,HIMB,0.052021429
12/10/15,HIMB,0.158262162
1/14/16,HIMB,0.059665714
